question_order,question_answer_group_id,speaker,role,company,content,year,quarter
1,1,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Yeah. Matt, not particularly updating. I think you're referring to that $80 billion number that we'd put out there, and I wou ldn't exactly describe
that as an outlook. I think it's more just a number that we put out there to try to quantify a little bit the extent of the over earning . So, not
particularly necessary to revise the number. But I just would point out, again, as we highlight on the page, and as I hig hlighted in the prepared
remarks, that when you look at that $94 billion exit rate and full year guidance of $88 billion, that implies obviously exiti ng below $88 billion and
some significant sequential decline. So, in that sense, you can see us kind of ma rching on the path to that $80 billion. Whether we ever get to
the $80 billion or not and when is maybe a topic for later in the year or next year .",2023,4
2,1,Matt O’Connor,Analyst,Inc.,"Okay. And then just separately, you bought back couple of billion dollars of stock this quarter. What's your thought process on buybacks given
the strong capital generation, but also some uncertainty on regulatory proposals ?",2023,4
3,1,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Yeah. Good question. And I think you framed it exactly correctly in the sense that we obviously have a lot of buyback capacity in g eneral
based on our organic capital generation. So, the normal capital hierarchy will apply. But for now, we plan to remain on a mo dest pace of
buybacks consistent with that kind of $2 billion net buyback a quarter number that we've talked about and that you've seen us  do, in light of the
– probably the need to continue building to have a bit of a buffer, as you said, the uncertainty about the finalization of the rules. And also just
as a reminder, the SCB is probably a little bit low right now and has been quite volatile. So, that's another factor that we need to keep in mind .",2023,4
4,1,Matt O’Connor,Analyst,Inc.,Okay. Thank you .,2023,4
5,1,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Thanks, Matt.",2023,4
0,2,John McDonald,Analyst,Autonomous Research,"Thanks. Jeremy, could you give a little more color on what's baked into the loan loss reserve in terms of kind of weighted av erage
assumptions and how any change in macro outlook played into the dynamics of the reserve builds and releases this quarter ?",2023,4
1,2,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Yeah. Actually, John, this quarter, that's all like pretty quiet. So, the weighted average unemployment rate number is still 5.5%. We didn't have
any really big revisions in the macro outlook driving the numbers, and our skew remains as it has been – a little bit skewed to the downside.
Just recognizing that we still see risks being elevated, which obviously you can see that skew in the difference between the weighted average
unemployment of 5.5%, and what's in our central outlook, which I think is somethin g like 4.6% (sic) [4.4%]  peak of the current levels.",2023,4
2,2,John McDonald,Analyst,Autonomous Research,"Okay. And then, just to follow up on the NII, could you give us some sensitivity to that outlook when you flex the amount of Fed cuts? Like
what's the impact of a few Fed cuts and how much does it matter like for the first two versus if you're thinking four, five, six? I know  it's
complicated, but maybe a little bit of color on like how sensitive you are to a couple of cuts might be helpful .",2023,4
3,2,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Sure. Yeah, happy to do that, John. So, I think probably the best way to do this is to look at our EaR numbers. So, as you kn ow, we don't
update that until the Q. But on an estimated basis, it's going to be a little bit low er. So, I think something like $1.9 billion as opposed to $2.1
billion. So, just round numbers, about $2 billion in EaR. I think, empirically, the number is maybe a little higher than that  just because even
though we do model lags in the EaR, we've been se eing the lag effect be a little bit bigger. But just crudely, I think as I noted, we do remain
asset -sensitive. That's one way to quantify it. I would say the empirical number would maybe be a little higher than that, and hope fully, that
gives you enough t o work with .",2023,4
4,2,John McDonald,Analyst,Autonomous Research,Okay. Thanks .,2023,4
0,3,Jim Mitchell,Analyst,Seapor t Global Securities LLC,"Hey. Good morning. Maybe just to follow up in a different way on the NII question, just in deposits, can you, Jeremy, discuss  your assumptions
on the reprice and migration thoughts? And then, layering in if we do get six cuts, does that start to change the dynamic around growth in
deposits? How are you thinking about all that ?",2023,4
1,3,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Yeah. Both good questions. So let's do reprice first. So, I think all else equal, this more dovish Fed environment and these six cuts has the
effect of taking a little bit of pressure off the reprice, especially product -level reprice. At the same time, we do continue to expect internal
migration, particularly out of checking and savings into CDs, and in Who lesale, a little bit of ongoing migration out of non -interest -bearing into
interest -bearing.
And that trajectory, I would expect to continue even in a lower rate environment. So, as a result, if you look at weighted av erage rate paid, for
example, for the consumer deposit franchise, we would actually expect that number to be a little bit higher, just even in a world with six  cuts.
And that's actually intuitive when you think about it, as people continue migrating into CDs, but maybe a little non -intuiti ve if you're kind of
trying to do beta type math with like change in rates and change in rate paid. It gets a little bit non -intuitive.
And then, in terms of balances, yeah, you'll note that I said that our outlook is for balances to be very modestly down , which when you
consider the QT, despite the various speculations about having it slow down later in the year, continues and that loan growth  in the system as
a whole is expected to be quite muted. It's a pretty modest decline outlook consistent with the lower rates. So, I kind of agree with you that this
environment is at the margin, a little bit more supportive for system -wide deposit balances. And then, obviously, we continue to be optimistic
about our ability to take share in deposits based on our cust omer value proposition across all of our different businesses .",2023,4
